"","model_id","energy_score","brier_score_point","brier_score_dist","n","interval_coverage_50","interval_coverage_90","target_date"
"1","Hub-baseline",0.728634051723204,0.364228132089834,0.364692278943275,7,0.8,0.966666666666667,2024-09-08
"2","UMass-HMLR",0.719504627827682,0.347605297621744,0.438070065512942,7,0.833333333333333,1,2024-09-08
"3","Hub-baseline",1.01143398778527,0.287351384433054,0.285329610095732,7,0.842105263157895,0.947368421052632,2024-09-09
"4","UMass-HMLR",0.990745679247532,0.303953564137769,0.391046397073706,7,0.769230769230769,1,2024-09-09
"5","Hub-baseline",1.27660609271484,0.350178898159659,0.349473454365463,6,0.851851851851852,1,2024-09-10
"6","UMass-HMLR",1.11420353550112,0.315468078005628,0.408016164538689,6,0.857142857142857,1,2024-09-10
"7","Hub-baseline",1.25476610867254,0.385857625982813,0.386684603573501,8,0.708333333333333,1,2024-09-11
"8","UMass-HMLR",1.24902925936866,0.362284293747811,0.460843781723757,8,0.666666666666667,1,2024-09-11
"9","Hub-baseline",1.88333050964334,0.315672738107972,0.314560795803345,5,0.851851851851852,0.925925925925926,2024-09-12
"10","UMass-HMLR",1.67447812097912,0.306931897847224,0.372137499472564,5,0.857142857142857,0.952380952380952,2024-09-12
"11","Hub-baseline",1.43517155268579,0.369554401361081,0.369855901690121,8,0.740740740740741,0.851851851851852,2024-09-13
"12","UMass-HMLR",1.40541165458125,0.357224498796771,0.442821934271821,8,0.761904761904762,0.952380952380952,2024-09-13
"13","Hub-baseline",0.811966272486532,0.319911986897509,0.318444747871743,7,0.903225806451613,1,2024-09-14
"14","UMass-HMLR",0.683741776444754,0.295431070733302,0.367070110374698,7,0.96,1,2024-09-14
"15","Hub-baseline",0.789173009604406,0.375030320843664,0.37596476231705,15,0.876712328767123,1,2024-09-15
"16","UMass-HMLR",0.861833297972387,0.376822196247133,0.421329390164327,15,0.80327868852459,1,2024-09-15
"17","Hub-baseline",1.93155895355791,0.367729027046906,0.368611328179659,12,0.739130434782609,0.869565217391304,2024-09-16
"18","UMass-HMLR",1.70684159853623,0.359529872438634,0.405179981213184,12,0.676470588235294,0.882352941176471,2024-09-16
"19","Hub-baseline",1.07740442276055,0.318162637551454,0.317471527418109,25,0.672727272727273,0.909090909090909,2024-09-17
"20","UMass-HMLR",0.960114199356357,0.309814589030743,0.360235454533481,25,0.720930232558139,0.953488372093023,2024-09-17
"21","Hub-baseline",1.02534326892917,0.360322529366683,0.360572936614299,14,0.785714285714286,1,2024-09-18
"22","UMass-HMLR",0.944059748522131,0.340730310110794,0.38635678643136,14,0.766666666666667,1,2024-09-18
"23","Hub-baseline",0.961414442062452,0.325095647469268,0.32482077252247,21,0.677966101694915,0.966101694915254,2024-09-19
"24","UMass-HMLR",0.758835277700569,0.318541148354884,0.376224887322585,21,0.787234042553192,1,2024-09-19
"25","Hub-baseline",0.932996311915307,0.312710209323268,0.312252323418059,18,0.867647058823529,0.941176470588235,2024-09-20
"26","UMass-HMLR",0.874889219819002,0.304510937218202,0.34299728446043,18,0.839285714285714,0.982142857142857,2024-09-20
