"","model_id","location","energy_score","brier_score_point","brier_score_dist","n","interval_coverage_50","interval_coverage_90"
"1","CADPH-CATaLog","CA",NA,0.340435527678695,NA,1712,NA,NA
"2","CADPH-CATaMaran","CA",NA,0.318552182998708,NA,375,NA,NA
"3","Hub-baseline","AK",0.767288072748703,0.422207152812973,0.436807698439272,217,0.991845379931162,0.997034683611332
"4","Hub-baseline","AL",0.649695981257082,0.401074913379591,0.409096047638879,154,0.994676516921071,0.998207398555055
"5","Hub-baseline","AR",0.525318326805751,0.365449991493336,0.370930423767193,70,0.998298143913205,0.999468169972877
"6","Hub-baseline","AZ",1.03094294780812,0.335765452420609,0.345803481559389,1372,0.92587618316705,0.978894858019954
"7","Hub-baseline","CA",5.99747074216064,0.360043751137045,0.370244165931225,1834,0.663393583088373,0.865094752642442
"8","Hub-baseline","CO",2.60596868156608,0.335392116235264,0.346342750597957,1482,0.826816295516979,0.939622420948039
"9","Hub-baseline","CT",0.816316108187371,0.312824957999501,0.321356103482693,1711,0.938127090301003,0.983817024490236
"10","Hub-baseline","DC",0.578910315754894,0.310660039173128,0.315575636871642,522,0.985524532393603,0.996909731634589
"11","Hub-baseline","DE",1.10285999130937,0.350259023105626,0.355722659998212,670,0.959879761977793,0.989816575670204
"12","Hub-baseline","FL",0.832004596471358,0.356255462880278,0.365907233409957,731,0.965266272189349,0.989467455621302
"13","Hub-baseline","GA",0.708588343480663,0.384581521313546,0.391065717625663,424,0.98719136643593,0.997656292581893
"14","Hub-baseline","HI",NA,NA,NA,0,1,1
"15","Hub-baseline","IA",0.906654691414294,0.317319454910997,0.326119493739883,634,0.966271953166578,0.99062001064396
"16","Hub-baseline","ID",0.131404205677249,0.0890802522623849,0.0985316987412706,6,1,1
"17","Hub-baseline","IL",1.31114215211344,0.312871721880522,0.323801780269415,1581,0.884589456653634,0.967237427531347
"18","Hub-baseline","IN",0.54753987142556,0.345869769861647,0.353044775629921,137,0.996584210236351,0.999283786017299
"19","Hub-baseline","KS",0.609763394519855,0.431983608558638,0.442607616557296,40,0.998359788359788,0.99968253968254
"20","Hub-baseline","KY",0.469421795636857,0.306256882266999,0.310526059559446,30,0.99946618267229,0.999893236534458
"21","Hub-baseline","LA",1.12259341307905,0.365600451260065,0.373171492547228,823,0.953543126220282,0.982542781669921
"22","Hub-baseline","MA",0.790756136790881,0.35037314157094,0.357019431532691,694,0.970082449941107,0.99263839811543
