"","model_id","energy_score","brier_score_point","brier_score_dist","n","interval_coverage_50","interval_coverage_90","target_date"
"1","Hub-baseline",0.728634051723204,0.364228132089834,0.364692278943275,7,0.966666666666667,0.994444444444444,2024-09-08
"2","UMass-HMLR",0.719504627827682,0.347605297621744,0.438070065512942,7,0.972222222222222,1,2024-09-08
"3","Hub-baseline",1.01143398778527,0.287351384433054,0.285329610095732,7,0.964912280701754,0.991228070175439,2024-09-09
"4","UMass-HMLR",0.990745679247532,0.303953564137769,0.391046397073706,7,0.961538461538462,1,2024-09-09
"5","Hub-baseline",1.27660609271484,0.350178898159659,0.349473454365463,6,0.975308641975309,1,2024-09-10
"6","UMass-HMLR",1.11420353550112,0.315468078005628,0.408016164538689,6,0.976190476190476,1,2024-09-10
"7","Hub-baseline",1.25476610867254,0.385857625982813,0.386684603573501,8,0.9375,1,2024-09-11
"8","UMass-HMLR",1.24902925936866,0.362284293747811,0.460843781723757,8,0.944444444444444,1,2024-09-11
"9","Hub-baseline",1.88333050964334,0.315672738107972,0.314560795803345,5,0.95679012345679,0.981481481481482,2024-09-12
"10","UMass-HMLR",1.67447812097912,0.306931897847224,0.372137499472564,5,0.976190476190476,0.992063492063492,2024-09-12
"11","Hub-baseline",1.43517155268579,0.369554401361081,0.369855901690121,8,0.938271604938272,0.975308641975309,2024-09-13
"12","UMass-HMLR",1.40541165458125,0.357224498796771,0.442821934271821,8,0.944444444444444,0.992063492063492,2024-09-13
"13","Hub-baseline",0.811966272486532,0.319911986897509,0.318444747871743,7,0.983870967741935,1,2024-09-14
"14","UMass-HMLR",0.683741776444754,0.295431070733302,0.367070110374698,7,0.993333333333333,1,2024-09-14
"15","Hub-baseline",0.789173009604406,0.375030320843664,0.37596476231705,15,0.974885844748858,1,2024-09-15
"16","UMass-HMLR",0.861833297972387,0.376822196247133,0.421329390164327,15,0.96448087431694,1,2024-09-15
"17","Hub-baseline",1.93155895355791,0.367729027046906,0.368611328179659,12,0.923913043478261,0.97463768115942,2024-09-16
"18","UMass-HMLR",1.70684159853623,0.359529872438634,0.405179981213184,12,0.926470588235294,0.980392156862745,2024-09-16
"19","Hub-baseline",1.07740442276055,0.318162637551454,0.317471527418109,25,0.921212121212121,0.984848484848485,2024-09-17
"20","UMass-HMLR",0.960114199356357,0.309814589030743,0.360235454533481,25,0.945736434108527,0.992248062015504,2024-09-17
"21","Hub-baseline",1.02534326892917,0.360322529366683,0.360572936614299,14,0.96031746031746,1,2024-09-18
"22","UMass-HMLR",0.944059748522131,0.340730310110794,0.38635678643136,14,0.95,1,2024-09-18
"23","Hub-baseline",0.961414442062452,0.325095647469268,0.32482077252247,21,0.935028248587571,0.994350282485876,2024-09-19
"24","UMass-HMLR",0.758835277700569,0.318541148354884,0.376224887322585,21,0.960992907801418,1,2024-09-19
"25","Hub-baseline",0.932996311915307,0.312710209323268,0.312252323418059,18,0.973039215686274,0.990196078431373,2024-09-20
"26","UMass-HMLR",0.874889219819002,0.304510937218202,0.34299728446043,18,0.973214285714286,0.99702380952381,2024-09-20
"27","Hub-baseline",0.881954679221911,0.384905922649748,0.385693802327271,27,0.956862745098039,0.988235294117647,2024-09-21
"28","UMass-HMLR",0.934600207515479,0.383385874734102,0.429821338712286,27,0.952054794520548,0.990867579908676,2024-09-21
"29","Hub-baseline",1.41943153569698,0.383976926450114,0.384912112820045,38,0.936170212765957,0.99290780141844,2024-09-22
"30","LANL-CovTransformer",NA,0.470507515110355,NA,9,NA,NA,2024-09-22
"31","UMass-HMLR",1.29906187796484,0.381616850412812,0.421850293967418,38,0.944903581267218,0.994490358126722,2024-09-22
"32","Hub-baseline",1.16528951191741,0.331210565344732,0.331272843226929,50,0.951697127937337,0.989556135770235,2024-09-23
"33","LANL-CovTransformer",NA,0.473459515430527,NA,13,NA,NA,2024-09-23
"34","UMass-HMLR",1.06274553830226,0.323545756165217,0.359749272888579,50,0.952012383900929,0.996904024767802,2024-09-23
"35","Hub-baseline",1.62533601677518,0.369127015776189,0.36915264098943,49,0.922680412371134,0.974226804123711,2024-09-24
"36","LANL-CovTransformer",NA,0.470116827469047,NA,11,NA,NA,2024-09-24
"37","UMass-HMLR",1.47795096987963,0.364887157101536,0.401768150543516,49,0.935975609756098,0.981707317073171,2024-09-24
"38","Hub-baseline",1.28271593431625,0.319690773979924,0.319250246771361,54,0.919753086419753,0.977777777777778,2024-09-25
"39","LANL-CovTransformer",NA,0.472917660242093,NA,13,NA,NA,2024-09-25
"40","UMass-HMLR",1.0736637083584,0.297199648029325,0.331599324781121,54,0.942028985507246,0.988405797101449,2024-09-25
"41","Hub-baseline",1.15299371794447,0.296619381646331,0.295997096013851,54,0.955314009661836,0.986714975845411,2024-09-26
"42","LANL-CovTransformer",NA,0.469700732623563,NA,12,NA,NA,2024-09-26
"43","UMass-HMLR",1.01164380964944,0.277357462409541,0.312583938009173,54,0.96045197740113,0.992937853107345,2024-09-26
"44","Hub-baseline",0.907290701101755,0.298536796472001,0.297807088322132,55,0.951923076923077,0.987980769230769,2024-09-27
"45","LANL-CovTransformer",NA,0.457098384149318,NA,11,NA,NA,2024-09-27
"46","UMass-HMLR",0.912836623007361,0.293863651232959,0.325508105124242,55,0.949438202247191,0.991573033707865,2024-09-27
"47","Hub-baseline",1.14232878732054,0.280160973310271,0.278819318638731,45,0.946882217090069,0.986143187066975,2024-09-28
"48","LANL-CovTransformer",NA,0.456213168072885,NA,8,NA,NA,2024-09-28
