"model_id","location","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"Hub-baseline","WA",1.10103249110055,0.374045735383723,0.38348832764394,0.774366845740599,0.882194934765925,850
"Hub-baseline","WI",0.688787687564813,0.334516505749747,0.346201322285042,0.949466192170819,0.98220640569395,297
"Hub-baseline","WV",0.642826699130339,0.411619861392831,0.418883473189528,0.979935506986743,0.994625582228592,83
"Hub-baseline","WY",0.0371645824735811,0.027486147442788,0.0272912427586554,1,1,6
"Hub-ensemble","AK",0.574530622156246,0.292974867166474,0.341746750177097,0.933161953727506,0.967437874892888,229
"Hub-ensemble","AL",0.0416309721045195,0.028887703627921,0.0571281881987479,1,1,11
"Hub-ensemble","AR",0.0312542491866509,0.0220840367656962,0.0428604180996617,1,1,19
"Hub-ensemble","AZ",0.700194974758895,0.18737826062076,0.209411566925265,0.725045372050817,0.93557168784029,841
"Hub-ensemble","CA",3.10214088968294,0.220676990471322,0.238387642233935,0.419226957383548,0.801783944499504,1006
"Hub-ensemble","CO",1.47234082074883,0.195235080489826,0.210254525580931,0.376447876447876,0.823359073359073,1021
"Hub-ensemble","CT",0.503220694808806,0.16162110034636,0.181566691590122,0.811418685121107,0.955017301038062,931
"Hub-ensemble","DC",0.232056168114056,0.127155064648293,0.152421591381038,0.98381601362862,0.989778534923339,159
"Hub-ensemble","DE",0.490033079160842,0.14780522625549,0.167167202840502,0.978741496598639,0.991496598639456,81
"Hub-ensemble","FL",0.462527132708797,0.183962083229755,0.211628351643381,0.912966252220249,0.976909413854352,314
"Hub-ensemble","GA",0.809209046688261,0.488565517548547,0.525587612074608,0.989769820971867,0.998294970161978,85
"Hub-ensemble","HI",NA,NA,NA,1,1,0
"Hub-ensemble","IA",0.135444307674217,0.0676953160142619,0.0909046602582257,0.995748299319728,1,204
"Hub-ensemble","ID",NA,NA,NA,1,1,0
"Hub-ensemble","IL",0.594988950891226,0.139760463445655,0.156541248518074,0.71694417238002,0.949069539666993,932
