"model_id","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"CADPH-CATaLog",NA,0.291203574559427,NA,NA,NA,2956
"CADPH-CATaMaran",NA,0.247595664525029,NA,NA,NA,1205
"Hub-baseline",1.28633190955874,0.314981226985822,0.325680961123772,0.834574944983291,0.932474800988942,51455
"Hub-ensemble",0.79161945768872,0.21322749717132,0.242118439726915,0.911912017765643,0.977360340700436,23610
"LANL-CovTransformer",NA,0.425345291464997,NA,NA,NA,43257
"UGA-multicast",1.28126497049089,0.301122824226453,0.309019244020476,0.832336337269526,0.909124456183965,47471
"UMass-CCHMLR",0.589980604016994,0.261414121982182,0.287043118834619,0.941665834747596,0.982330038933813,4348
"UMass-HMLR",1.15221369293737,0.290552852932416,0.303925276901976,0.843241032965514,0.93851505448179,50595
"UMass-PyHMLR",0.76801221175761,0.222326659060069,0.234218309389424,0.90689164464322,0.947941263859133,13547
"blab-gisaid_hier_mlr",1.404921545445,0.209655689173908,0.213677330354155,0.727424320164187,0.885454079014879,4517
"blab-open_hier_mlr",0.812141015965834,0.197792359700544,0.200250683505883,0.684953289604452,0.887497515404492,7175
