"model_id","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","horizon","n"
"CADPH-CATaLog",NA,0.276735113210419,NA,NA,NA,-31,22
"CADPH-CATaMaran",NA,0.173511928076815,NA,NA,NA,-31,6
"Hub-baseline",0.800121039259922,0.279093504462459,0.279780909698985,0.922542460113227,0.976325270200721,-31,633
"Hub-ensemble",0.592488218972146,0.216130587490376,0.233141157696152,0.948191156766414,0.987941045109424,-31,331
"LANL-CovTransformer",NA,0.383835094496794,NA,NA,NA,-31,517
"UGA-multicast",0.845758218625437,0.280625898887656,0.28841613739093,0.916123019571295,0.960857409133271,-31,578
"UMass-CCHMLR",0.567725073393471,0.268301964392908,0.280157271995349,0.953242835595777,0.984917043740573,-31,77
"UMass-HMLR",0.767128260538856,0.276203073929744,0.289703214942768,0.919483374553449,0.974993129980764,-31,622
"UMass-PyHMLR",0.611223208320062,0.210772560027213,0.222838483871286,0.938040345821326,0.971902017291066,-31,205
"blab-gisaid_hier_mlr",1.09706635062321,0.283038631270803,0.286271562756712,0.801724137931034,0.922413793103448,-31,35
"blab-open_hier_mlr",0.567968394383011,0.151229159248026,0.15311569322395,0.792,0.936,-31,76
"CADPH-CATaLog",NA,0.29667777041267,NA,NA,NA,-30,20
"CADPH-CATaMaran",NA,0.264604652339392,NA,NA,NA,-30,7
"Hub-baseline",0.862400316740085,0.272152541169892,0.272795882816371,0.890322580645161,0.966900420757363,-30,790
"Hub-ensemble",0.62410471841744,0.199070282016285,0.21721533758366,0.935231970601746,0.984841525034451,-30,418
"LANL-CovTransformer",NA,0.382372773034283,NA,NA,NA,-30,593
"UGA-multicast",0.933574768912222,0.278673163555289,0.288448095987366,0.879345603271984,0.941376959781868,-30,724
"UMass-CCHMLR",0.626501169290972,0.276334908678474,0.293329847736088,0.943939393939394,0.983333333333333,-30,86
"UMass-HMLR",0.84707179997687,0.264779024029189,0.276742072915517,0.890027116601386,0.970171738475444,-30,761
"UMass-PyHMLR",0.610621822144073,0.1961722890129,0.20815496320532,0.924927113702624,0.967201166180758,-30,263
"blab-gisaid_hier_mlr",1.3881309985527,0.220118485393924,0.224278388612056,0.803921568627451,0.911764705882353,-30,44
"blab-open_hier_mlr",0.627107037213533,0.178540316186565,0.180433811294781,0.758333333333333,0.916666666666667,-30,83
"CADPH-CATaLog",NA,0.266968209831728,NA,NA,NA,-29,23
"CADPH-CATaMaran",NA,0.156464574325045,NA,NA,NA,-29,9
"Hub-baseline",0.929677750961827,0.285190324555357,0.286024931945716,0.884921724800879,0.963196923921999,-29,831
"Hub-ensemble",0.687092564832084,0.221008812269746,0.238065264696127,0.925339366515837,0.979185520361991,-29,449
"LANL-CovTransformer",NA,0.405585224638263,NA,NA,NA,-29,627
"UGA-multicast",1.00446468371001,0.299824048110363,0.307768495868337,0.87245409015025,0.936227045075125,-29,759
"UMass-CCHMLR",0.534712022149451,0.227279807480598,0.245029434907831,0.947289156626506,0.981927710843373,-29,101
"UMass-HMLR",0.901752876035266,0.281657238403324,0.295983301177507,0.880482778922579,0.960553429496615,-29,813
"UMass-PyHMLR",0.637554530209713,0.213147149618048,0.225292726422054,0.915766738660907,0.956803455723542,-29,285
