"model_id","nowcast_date","Energy Score","Brier Score Point","Brier Score Dist","Interval Coverage 50","Interval Coverage 90","n"
"CADPH-CATaLog","2024-10-30",NA,0.348229249583215,NA,NA,NA,30
"CADPH-CATaLog","2024-11-06",NA,0.356646709885775,NA,NA,NA,32
"CADPH-CATaLog","2024-11-13",NA,0.352812465241686,NA,NA,NA,37
"CADPH-CATaLog","2024-11-20",NA,0.356297684176614,NA,NA,NA,31
"CADPH-CATaLog","2024-11-27",NA,0.367673819781317,NA,NA,NA,36
"CADPH-CATaLog","2024-12-04",NA,0.37003542651061,NA,NA,NA,36
"CADPH-CATaLog","2024-12-11",NA,0.368114714123083,NA,NA,NA,37
"CADPH-CATaLog","2024-12-18",NA,0.363646547924587,NA,NA,NA,37
"CADPH-CATaLog","2024-12-25",NA,0.362821445052823,NA,NA,NA,35
"CADPH-CATaLog","2025-01-01",NA,0.362582791809413,NA,NA,NA,39
"CADPH-CATaLog","2025-01-08",NA,0.355858716396143,NA,NA,NA,38
"CADPH-CATaLog","2025-01-15",NA,0.363119839415382,NA,NA,NA,42
"CADPH-CATaLog","2025-01-22",NA,0.367384174571742,NA,NA,NA,34
"CADPH-CATaLog","2025-01-29",NA,0.376248574036873,NA,NA,NA,31
"CADPH-CATaLog","2025-02-05",NA,0.364795318498776,NA,NA,NA,34
"CADPH-CATaLog","2025-02-12",NA,0.372139858845682,NA,NA,NA,37
"CADPH-CATaLog","2025-02-19",NA,0.372860338389778,NA,NA,NA,41
"CADPH-CATaLog","2025-02-26",NA,0.382157883421512,NA,NA,NA,36
"CADPH-CATaLog","2025-03-05",NA,0.366780949182722,NA,NA,NA,38
"CADPH-CATaLog","2025-03-12",NA,0.364952152684064,NA,NA,NA,29
"CADPH-CATaLog","2025-03-19",NA,0.362780231671311,NA,NA,NA,31
"CADPH-CATaLog","2025-03-26",NA,0.367465326686346,NA,NA,NA,37
"CADPH-CATaLog","2025-04-02",NA,0.361696035240324,NA,NA,NA,38
